PRED,PRED_cleaned
"ชุดตัวเชื่อมต่ออุปกรณ์ไฟฟ้า เช่น เรียงจุดเชื่อมต่อ, สวิตซ์ และปลั๊ก","ชุดตัวเชื่อมต่ออุปกรณ์ไฟฟ้า เช่น เรียงจุดเชื่อมต่อ, สวิตซ์ และปลั๊ก"
"Please provide your answer below:

วัสดุสำหรับส่วนควบคุมไฟฟ้าหลัก (ลวด, สายเคเบิล)","    วัสดุสำหรับส่วนควบคุมไฟฟ้าหลัก (ลวด, สายเคเบิล)"
"Please provide your translated response below:

อุปกรณ์ประกอบเครื่องมือไฟฟ้าและวัตถุดอกเฉพาะทางของเครื่องมือไฟฟ้า",     อุปกรณ์ประกอบเครื่องมือไฟฟ้าและวัตถุดอกเฉพาะทางของเครื่องมือไฟฟ้า
"### Output Format
Please provide your answer using this JSON object with a single key-value pair where 'translation' contains the translated content:

{
    ""translation"": <your_translation>
}

Example Input : 
```
material for electric conductors (cables).
```


Example Output :
```

{""translation"":""วัสดุสำหรับตัวนำไฟฟ้า(สายเคเบิล)""}
```

Remember that you should follow these guidelines strictly when providing translations.


Source Text: parts and accessories for vehicles

Translation Result:


{
""translation"": ส่วนประกอบและอุปกรณ์เสริมสำหรับยานพาหนะ""
}","                ''        """"        ().  """"""วัสดุสำหรับตัวนำไฟฟ้า(สายเคเบิล)""          .       """" ส่วนประกอบและอุปกรณ์เสริมสำหรับยานพาหนะ"""
"Please provide your answer below:

บริการวิเคราะห์และวิจัยอุตสาหกรรม",    บริการวิเคราะห์และวิจัยอุตสาหกรรม
"Please provide your answer below:

รีดเหล็กกล้า",    รีดเหล็กกล้า
"Please provide your translations below:

โลหะฝาและหมวกปิด (สำหรับภาชนะบรรจุภัณฑ์อุตสาหกรรม)",    โลหะฝาและหมวกปิด (สำหรับภาชนะบรรจุภัณฑ์อุตสาหกรรม)
"ชื่อผลิตภัณฑ์ภาษาไทย:

ชื่อผลิตภัณฑ์ภาษาไทย: เครื่องปิดขวดโลหะ (สำหรับภาชนะบรรจุอุตสาหกรรม)",ชื่อผลิตภัณฑ์ภาษาไทยชื่อผลิตภัณฑ์ภาษาไทย เครื่องปิดขวดโลหะ (สำหรับภาชนะบรรจุอุตสาหกรรม)
"ผลิตภัณฑ์บรรจุภัณฑ์อุตสาหกรรมจากโลหะ (ไม่รวมถึง ""ฝาปิด ฝาครอบ และก้านแก้ว"")","ผลิตภัณฑ์บรรจุภัณฑ์อุตสาหกรรมจากโลหะ (ไม่รวมถึง ""ฝาปิด ฝาครอบ และก้านแก้ว"")"
"Please provide your answer below:

ข้อต่อท่อและท่อเหล็ก",    ข้อต่อท่อและท่อเหล็ก
"Please provide your answer directly as a single line without additional formatting:

วาล์ว (ของโลหะ ไม่ใช่อุปกรณ์เครื่องจักร)",           วาล์ว (ของโลหะ ไม่ใช่อุปกรณ์เครื่องจักร)
"Please provide your translated response below:

ผลิตภัณฑ์อาหารจากถั่วลันเตาแห้ง",     ผลิตภัณฑ์อาหารจากถั่วลันเตาแห้ง
"Please provide your translated response below:

สารฆ่าเชื้อโรค โดยเฉพาะอย่างยิ่ง สารฆ่าเชื้อเพื่อความสะอาด สบู่และน้ำยาทำความสะอาด สบู่และน้ำยาทำความสะอาดสำหรับครัวเรือน และน้ำยาฆ่าเชื้อในสระว่ายน้ำ",     สารฆ่าเชื้อโรค โดยเฉพาะอย่างยิ่ง สารฆ่าเชื้อเพื่อความสะอาด สบู่และน้ำยาทำความสะอาด สบู่และน้ำยาทำความสะอาดสำหรับครัวเรือน และน้ำยาฆ่าเชื้อในสระว่ายน้ำ
"Please provide your translated result below:

สารฆ่าเชื้อเพื่อการบำบัดอากาศและวัสดุก๊าซอื่น ๆ",     สารฆ่าเชื้อเพื่อการบำบัดอากาศและวัสดุก๊าซอื่น ๆ
"Please provide your translated response below:

สารฆ่าเชื้อเพื่อการบำบัดน้ำและของเหลวอื่นๆ",     สารฆ่าเชื้อเพื่อการบำบัดน้ำและของเหลวอื่นๆ
"Please provide your translated response below:

แก๊สมีดมัดสำหรับทำความสะอาด",     แก๊สมีดมัดสำหรับทำความสะอาด
"คำอธิบาย:

Assistant: เรซินและสารประกอบของเรซิน",คำอธิบาย เรซินและสารประกอบของเรซิน
"Please provide your translated response below:

ผงทาลค์เพื่อคงรูปร่างของชุด",     ผงทาลค์เพื่อคงรูปร่างของชุด
"คำอธิบายผลิตภัณฑ์: การทำความสะอาดคราบตะกรันในเครื่องใช้ภายในบ้าน

ข้อกำหนดการจัดหมวดหมู่:

1. สินค้าย่อยที่เกี่ยวข้องกับการทำความสะอาดคราบตะกรันในเครื่องใช้ภายในบ้าน เช่น เครื่องทำน้ำร้อน อ่างอาบน้ำ และอ่างล้างจาน
2. ไม่รวมถึงผลิตภัณฑ์ทำความสะอาดทั่วไปหรือสารเคมีในการบำบัดน้ำ",คำอธิบายผลิตภัณฑ์ การทำความสะอาดคราบตะกรันในเครื่องใช้ภายในบ้านข้อกำหนดการจัดหมวดหมู่. สินค้าย่อยที่เกี่ยวข้องกับการทำความสะอาดคราบตะกรันในเครื่องใช้ภายในบ้าน เช่น เครื่องทำน้ำร้อน อ่างอาบน้ำ และอ่างล้างจาน. ไม่รวมถึงผลิตภัณฑ์ทำความสะอาดทั่วไปหรือสารเคมีในการบำบัดน้ำ
คำอธิบายผลิตภัณฑ์ที่ใช้ในการทำความสะอาดฟันปลอมและฟัน,คำอธิบายผลิตภัณฑ์ที่ใช้ในการทำความสะอาดฟันปลอมและฟัน
